userId,dayKey,focusPrimary,focusSecondary,dailyLimitMinutes,bedTimeMinutes,wakeTimeMinutes,gentleNudgesEnabled,dailySummariesEnabled,achievementAlertsEnabled,limitWarningsEnabled,sessionCount,totalScreenMinutes,socialMinutes,productivityMinutes,pickups,unlocks,lateNightMinutes,sevenDayAvgScreenMinutes,yesterdayScore,overLimitMinutes,score,riskLevel,overLimitAppsCount,topExceededMinutes,sendLimitWarning,sendSleepNudge,sendAnyBehaviorNotification,behaviorNotificationCount,dominantNotificationType
1,2025-09-01,Social Media,Productivity,300,1380,360,1,1,1,1,19,259,42,165,44,33,22,259.0,99,0,99,low,0,0,0,0,0,0,none
1,2025-09-02,Social Media,Productivity,300,1380,360,1,1,1,1,15,191,130,8,56,26,6,225.0,99,0,93,low,1,30,0,0,0,0,none
1,2025-09-03,Social Media,Productivity,300,1380,360,1,1,1,1,16,275,90,90,65,50,0,241.67,93,0,94,low,0,0,0,0,0,0,none
1,2025-09-04,Social Media,Productivity,300,1380,360,1,1,1,1,19,262,78,69,53,19,6,246.75,94,0,94,low,0,0,0,0,0,0,none
1,2025-09-05,Social Media,Productivity,300,1380,360,1,1,1,1,17,253,79,16,35,24,0,248.0,94,0,96,low,0,0,0,0,0,0,none
1,2025-09-06,Social Media,Productivity,300,1380,360,1,1,1,1,18,205,42,32,33,21,3,240.83,96,0,97,low,0,0,0,0,0,0,none
1,2025-09-07,Social Media,Productivity,300,1380,360,1,1,1,1,16,238,10,0,65,33,30,240.43,97,0,91,low,0,0,0,1,1,1,sleep
1,2025-09-08,Social Media,Productivity,300,1380,360,1,1,1,1,23,333,139,116,20,28,0,251.0,91,33,92,medium,1,33,1,0,1,1,limit_warning
1,2025-09-09,Social Media,Productivity,300,1380,360,1,1,1,1,18,219,116,13,50,19,34,255.0,92,0,92,low,1,30,0,1,1,1,sleep
1,2025-09-10,Social Media,Productivity,300,1380,360,1,1,1,1,15,183,98,21,39,23,0,241.86,92,0,96,low,1,30,0,0,0,0,none
1,2025-09-11,Social Media,Productivity,300,1380,360,1,1,1,1,20,270,36,188,36,31,0,243.0,96,0,100,low,0,0,0,0,0,0,none
1,2025-09-12,Social Media,Productivity,300,1380,360,1,1,1,1,16,224,107,45,38,32,0,238.86,100,0,96,low,1,33,0,0,0,0,none
1,2025-09-13,Social Media,Productivity,300,1380,360,1,1,1,1,19,296,87,5,47,44,97,251.86,96,0,85,low,0,0,0,1,1,1,sleep
1,2025-09-14,Social Media,Productivity,300,1380,360,1,1,1,1,18,246,120,38,79,35,0,253.0,85,0,92,low,1,30,0,0,0,0,none
1,2025-09-15,Social Media,Productivity,300,1380,360,1,1,1,1,20,264,118,38,40,16,0,243.14,92,0,96,low,1,30,0,0,0,0,none
1,2025-09-16,Social Media,Productivity,300,1380,360,1,1,1,1,19,316,19,36,26,16,0,257.0,96,16,99,medium,0,0,1,0,1,1,limit_warning
1,2025-09-17,Social Media,Productivity,300,1380,360,1,1,1,1,15,216,89,5,39,42,0,261.71,99,0,96,low,0,0,0,0,0,0,none
1,2025-09-18,Social Media,Productivity,300,1380,360,1,1,1,1,12,183,143,34,52,43,0,249.29,96,0,95,low,1,48,0,0,0,0,none
1,2025-09-19,Social Media,Productivity,300,1380,360,1,1,1,1,25,295,120,130,48,22,33,259.43,95,0,97,low,0,0,0,1,1,1,sleep
1,2025-09-20,Social Media,Productivity,300,1380,360,1,1,1,1,16,240,8,38,59,53,32,251.43,97,0,96,low,0,0,0,1,1,1,sleep
1,2025-09-21,Social Media,Productivity,300,1380,360,1,1,1,1,14,242,34,94,41,20,105,250.86,96,0,91,low,0,0,0,1,1,1,sleep
1,2025-09-22,Social Media,Productivity,300,1380,360,1,1,1,1,23,276,75,111,28,30,35,252.57,91,0,98,low,0,0,0,1,1,1,sleep
1,2025-09-23,Social Media,Productivity,300,1380,360,1,1,1,1,18,276,103,35,23,16,32,246.86,98,0,95,low,0,0,0,1,1,1,sleep
1,2025-09-24,Social Media,Productivity,300,1380,360,1,1,1,1,19,250,38,47,25,15,31,251.71,95,0,100,low,0,0,0,1,1,1,sleep
1,2025-09-25,Social Media,Productivity,300,1380,360,1,1,1,1,17,172,16,20,66,41,7,250.14,100,0,97,low,0,0,0,0,0,0,none
1,2025-09-26,Social Media,Productivity,300,1380,360,1,1,1,1,12,193,42,122,22,12,0,235.57,97,0,100,low,0,0,0,0,0,0,none
1,2025-09-27,Social Media,Productivity,300,1380,360,1,1,1,1,16,249,25,159,43,22,17,236.86,100,0,99,low,0,0,0,0,0,0,none
1,2025-09-28,Social Media,Productivity,300,1380,360,1,1,1,1,16,256,50,149,63,51,66,238.86,99,0,92,low,0,0,0,1,1,1,sleep
1,2025-09-29,Social Media,Productivity,300,1380,360,1,1,1,1,19,194,3,113,18,15,0,227.14,92,0,100,low,0,0,0,0,0,0,none
1,2025-09-30,Social Media,Productivity,300,1380,360,1,1,1,1,17,253,55,153,61,36,18,223.86,100,0,97,low,0,0,0,0,0,0,none
1,2025-10-01,Social Media,Productivity,300,1380,360,1,1,1,1,20,257,41,58,32,22,17,224.86,97,0,100,low,0,0,0,0,0,0,none
1,2025-10-02,Social Media,Productivity,300,1380,360,1,1,1,1,15,211,82,7,50,24,31,230.43,100,0,92,low,0,0,0,1,1,1,sleep
1,2025-10-03,Social Media,Productivity,300,1380,360,1,1,1,1,18,225,127,38,56,45,0,235.0,92,0,94,low,1,30,0,0,0,0,none
1,2025-10-04,Social Media,Productivity,300,1380,360,1,1,1,1,18,304,38,96,48,24,0,242.86,94,4,99,medium,0,0,0,0,0,0,none
1,2025-10-05,Social Media,Productivity,300,1380,360,1,1,1,1,22,248,134,26,79,57,13,241.71,99,0,91,low,1,40,0,0,0,0,none
1,2025-10-06,Social Media,Productivity,300,1380,360,1,1,1,1,22,313,17,118,57,39,17,258.71,91,13,95,medium,0,0,0,0,0,0,none
1,2025-10-07,Social Media,Productivity,300,1380,360,1,1,1,1,16,212,39,4,56,40,16,252.86,95,0,92,low,0,0,0,0,0,0,none
1,2025-10-08,Social Media,Productivity,300,1380,360,1,1,1,1,19,242,7,24,30,23,0,250.71,92,0,100,low,0,0,0,0,0,0,none
1,2025-10-09,Social Media,Productivity,300,1380,360,1,1,1,1,15,201,28,134,32,23,3,249.29,100,0,100,low,0,0,0,0,0,0,none
1,2025-10-10,Social Media,Productivity,300,1380,360,1,1,1,1,20,244,18,131,30,17,24,252.0,100,0,100,low,0,0,0,0,0,0,none
1,2025-10-11,Social Media,Productivity,300,1380,360,1,1,1,1,16,230,105,22,54,59,45,241.43,100,0,91,low,0,0,0,1,1,1,sleep
1,2025-10-12,Social Media,Productivity,300,1380,360,1,1,1,1,19,270,101,46,93,47,23,244.57,91,0,89,low,0,0,0,0,0,0,none
1,2025-10-13,Social Media,Productivity,300,1380,360,1,1,1,1,16,215,54,124,32,22,0,230.57,89,0,100,low,0,0,0,0,0,0,none
1,2025-10-14,Social Media,Productivity,300,1380,360,1,1,1,1,14,239,93,94,25,32,44,234.43,100,0,99,low,1,30,0,1,1,1,sleep
1,2025-10-15,Social Media,Productivity,300,1380,360,1,1,1,1,19,256,153,12,42,43,33,236.43,99,0,93,low,1,30,0,1,1,1,sleep
1,2025-10-16,Social Media,Productivity,300,1380,360,1,1,1,1,20,231,48,7,50,54,19,240.71,93,0,93,low,0,0,0,0,0,0,none
1,2025-10-17,Social Media,Productivity,300,1380,360,1,1,1,1,18,228,28,161,52,39,12,238.43,93,0,99,low,0,0,0,0,0,0,none
1,2025-10-18,Social Media,Productivity,300,1380,360,1,1,1,1,16,263,65,0,67,58,38,243.14,99,0,89,low,0,0,0,1,1,1,sleep
1,2025-10-19,Social Media,Productivity,300,1380,360,1,1,1,1,17,220,36,100,52,56,3,236.0,89,0,100,low,0,0,0,0,0,0,none
1,2025-10-20,Social Media,Productivity,300,1380,360,1,1,1,1,26,355,68,40,26,24,3,256.0,100,55,88,medium,0,0,1,0,1,1,limit_warning
1,2025-10-21,Social Media,Productivity,300,1380,360,1,1,1,1,14,199,0,20,59,53,0,250.29,88,0,99,low,0,0,0,0,0,0,none
1,2025-10-22,Social Media,Productivity,300,1380,360,1,1,1,1,24,282,158,58,46,18,33,254.0,99,0,92,low,1,39,0,1,1,1,sleep
1,2025-10-23,Social Media,Productivity,300,1380,360,1,1,1,1,18,201,20,31,41,33,9,249.71,92,0,100,low,0,0,0,0,0,0,none
1,2025-10-24,Social Media,Productivity,300,1380,360,1,1,1,1,23,332,128,116,26,34,3,264.57,100,32,92,medium,1,33,1,0,1,1,limit_warning
